model,dataset,flip_rate,mean_yes_pct,mean_brd,brd_ci_lo,brd_ci_hi,min_brd,mean_acc,acc_ci_lo,acc_ci_hi,debate_brd,baseline_yes_pct,baseline_brd,base_rate
gpt-4.1-mini,nlsy97,0.25,0.609758,0.24975799999999998,0.17000000000000004,0.32999999999999996,0.10999999999999999,0.519464,0.43,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.26,0.60624,0.24624000000000001,0.18000000000000005,0.32000000000000006,0.12,0.5193760000000001,0.44,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.27,0.60146,0.24146000000000004,0.17000000000000004,0.32999999999999996,0.10999999999999999,0.518498,0.43,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.28,0.5969199999999999,0.23692000000000002,0.16000000000000003,0.32000000000000006,0.10000000000000003,0.517422,0.44,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.29,0.592354,0.232354,0.15000000000000002,0.31000000000000005,0.07,0.516468,0.43,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.3,0.588728,0.22872800000000007,0.16000000000000003,0.32000000000000006,0.08000000000000002,0.51683,0.42,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.31,0.583976,0.223976,0.15000000000000002,0.31000000000000005,0.09000000000000002,0.514358,0.43,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.32,0.579064,0.21906400000000004,0.14,0.30000000000000004,0.08000000000000002,0.514232,0.42,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.33,0.5740199999999999,0.21402,0.13,0.29000000000000004,0.09000000000000002,0.5136219999999999,0.43,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.34,0.570372,0.21037200000000003,0.12,0.30000000000000004,0.06,0.5128060000000001,0.42,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.35,0.5658219999999999,0.20582200000000003,0.13,0.29000000000000004,0.07,0.511152,0.41,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.36,0.5622420000000001,0.20224200000000006,0.12,0.28,0.040000000000000036,0.511324,0.42,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.37,0.55728,0.19727999999999998,0.10999999999999999,0.29000000000000004,0.030000000000000027,0.509616,0.41,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.38,0.5530820000000001,0.19308200000000003,0.10000000000000003,0.28,0.040000000000000036,0.5100560000000001,0.42,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.39,0.548734,0.188734,0.10999999999999999,0.27,0.04999999999999999,0.5084620000000001,0.41,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.4,0.544542,0.18454200000000004,0.10000000000000003,0.28,0.020000000000000018,0.508048,0.42,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.41,0.53979,0.17979,0.09000000000000002,0.27,0.030000000000000027,0.507404,0.41,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.42,0.535868,0.17586800000000005,0.10000000000000003,0.26,0.0,0.50589,0.42,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.43,0.530826,0.17082799999999998,0.09000000000000002,0.25,0.010000000000000009,0.5048779999999999,0.41,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.44,0.5265880000000001,0.16658800000000004,0.08000000000000002,0.26,0.020000000000000018,0.504864,0.4,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.45,0.521818,0.161822,0.07,0.25,0.010000000000000009,0.5041,0.41,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.46,0.5182100000000001,0.15821800000000003,0.08000000000000002,0.24,0.0,0.502266,0.4,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.47,0.51283,0.15283,0.07,0.25,0.010000000000000009,0.502132,0.41,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.48,0.5088980000000001,0.14889800000000006,0.06,0.24,0.0,0.501714,0.4,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.49,0.5048739999999999,0.14490200000000003,0.04999999999999999,0.22999999999999998,0.010000000000000009,0.501116,0.41,0.59,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.5,0.499856,0.13986800000000002,0.06,0.21999999999999997,0.0,0.50043,0.4,0.6,0.32000000000000006,0.72,0.36,0.36
gemini/gemini-2.5-flash,nlsy97,0.01,0.8136320000000002,0.45363200000000004,0.45000000000000007,0.47,0.45000000000000007,0.519554,0.51,0.53,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.02,0.8071299999999999,0.44713,0.44000000000000006,0.48,0.44000000000000006,0.519266,0.5,0.54,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.03,0.8007479999999999,0.44074800000000003,0.43000000000000005,0.47,0.43000000000000005,0.518868,0.49,0.55,0.22407079646017702,0.82,0.45999999999999996,0.36
